,gameRank,playerKill,monsterKill,characterLevel,bestWeaponLevel,damageToPlayer,totalTime,userNum,gameId
176,12,0,11,10,8,2626,334,564741,17089482
177,13,0,20,11,9,2460,436,1298857,16881265
178,3,0,68,19,15,1823,1120,1298857,16800142
179,2,2,45,20,18,17696,1236,1298857,16794483
180,15,0,11,11,9,4031,329,1298857,16764935
181,18,0,4,8,6,440,190,1298857,16753037
182,11,0,24,13,11,4514,510,1298857,16752795
183,15,0,5,8,5,1040,222,1298857,16750464
184,9,0,23,13,11,4675,524,1298857,16747604
185,4,1,44,16,14,3995,763,1298857,16720755
186,5,0,43,17,13,2546,1004,1298857,16720177
187,2,2,45,19,15,9462,1180,1298857,16719530
188,3,2,52,18,16,9876,1098,1298857,16717188
189,2,2,53,20,19,19472,1183,1298857,16706150
190,7,0,29,16,14,9342,847,1298857,16692015
191,13,1,11,10,8,2664,332,1298857,16691603
192,10,1,14,13,12,9841,566,1298857,16691339
193,10,0,27,10,8,153,394,1298857,16691132
194,1,5,53,20,20,22177,1254,1298857,16690496
195,12,0,18,12,10,5819,420,1298857,16690241
196,11,0,16,12,9,2427,427,1298857,16672334
197,11,0,20,12,8,2577,440,1298857,16654303
198,5,0,42,17,14,8418,1014,1298857,16653869
199,16,0,6,8,5,750,202,1298857,16653711
200,11,0,15,11,8,2991,393,1298857,16642140
201,15,0,3,9,8,3150,241,1298857,16642054
202,16,0,14,10,6,146,274,1298857,16640998
203,5,1,29,15,13,7926,702,1298857,16639687
204,11,1,17,12,9,3375,477,1298857,16639458
205,8,0,27,14,10,2264,816,1298857,16635742
206,3,0,36,18,14,7280,1137,1298857,16632572
207,11,0,13,11,10,8047,431,1298857,16632288
208,2,2,30,18,18,25710,1183,1298857,16631678
209,5,0,33,14,11,1607,598,1298857,16631352
210,2,1,44,18,16,11925,1120,1298857,16630844
211,12,0,6,9,7,3312,261,1298857,16629329
212,3,3,38,19,17,19942,1105,1298857,16628598
213,12,0,11,12,9,5964,422,1298857,16617924
214,10,1,14,13,11,7539,561,1298857,16617723
215,2,1,60,19,15,4062,1080,1298857,16577014
216,13,0,35,16,13,7775,895,1298857,16576558
217,7,0,17,12,8,550,497,1298857,16575490
218,16,0,4,8,5,615,252,1298857,16575336
219,6,1,56,18,15,2191,1001,1298857,16564724
220,7,0,23,14,10,1206,687,1298857,16564059
221,5,0,45,17,13,3953,990,1298857,16563574
222,1,4,48,18,15,8710,1234,1298857,16562991
223,1,4,50,18,17,8524,1181,1298857,16546594
224,18,0,2,7,5,1862,166,1298857,16546122
225,11,0,17,13,8,1398,591,1298857,16544989
226,9,1,27,14,11,4404,607,1298857,16544649
227,6,1,35,16,14,8003,945,1298857,16544122
228,14,0,16,10,7,818,355,1298857,16543842
229,2,3,55,19,18,10584,1088,1298857,16530811
230,11,2,10,10,7,2107,279,1298857,16530593
231,2,2,62,20,17,13125,1204,1298857,16528592
232,7,1,19,13,12,9163,529,1298857,16527746
233,6,0,31,16,12,5052,776,1298857,16523475
234,7,1,30,16,13,4898,819,1298857,16522397
235,8,0,31,16,13,9194,783,1298857,16522001
236,2,2,43,20,18,19118,1172,1298857,16521248
237,16,1,5,8,7,1839,216,1298857,16521068
238,4,2,47,18,16,8358,1056,1298857,16518496
239,16,1,12,11,8,3008,370,1298857,16518235
240,3,4,44,19,18,18132,1158,1298857,16517616
241,7,2,19,16,14,15584,851,1298857,16494979
242,11,1,8,10,7,1424,315,1298857,16488683
243,7,0,33,15,13,7102,781,1298857,16488555
244,17,0,16,10,8,3214,330,1298857,16488193
245,2,1,54,19,18,11892,1101,1298857,16487908
246,10,0,17,12,9,3556,498,1298857,16479064
247,16,0,1,9,5,1274,253,1298857,16468720
248,10,0,17,12,8,581,472,1298857,16468608
249,11,1,18,13,12,8491,559,1298857,16468453
250,5,2,54,17,17,13636,992,1298857,16468227
251,17,0,9,10,8,4079,296,1298857,16468061
252,8,2,22,15,14,12676,742,1298857,16467856
253,14,0,9,10,8,2622,310,1298857,16465286
