,playerKillAverage,monsterKillAverage,bestWeaponLevelAverage,cluster,characterName,,,,,,,,,,,,,,,,,,,
6,-2.13110856,0.583748156,-0.259375688,4,Hyunwoo,,,,,,,,,,,,,,,,,,,
10,-1.729404357,-1.072392193,-1.5690951,4,Yuki,,,,,,,,,,,,,,,,,,,
18,-1.648005756,-1.207191838,-0.334950069,4,Emma,,,,,,,,,,,,,,,,,,,
48,-2.922535997,-0.344109614,-1.797996158,4,Felix,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,
,»ç³É²Û,,,,,,,»ç³É²Û,,,,,,,,,,,,,,,,
0,-0.099234119,1.195300783,1.348407887,2,Jackie,,26,-0.462354495,1.293498997,2.894408773,0,Alex,,,,,,,,,,,,
5,-1.054312739,4.431909677,2.599921297,2,Nadine,,15,-0.129070924,1.608458065,1.557574444,0,Silvia,,,,,,,,,,,,
15,-0.129070924,1.608458065,1.557574444,2,Silvia,,0,-0.099234119,1.195300783,1.348407887,0,Jackie,,,,,,,,,,,,
26,-0.462354495,1.293498997,2.894408773,2,Alex,,5,-1.054312739,4.431909677,2.599921297,2,Nadine,,,,,,,,,,,,
30,-0.492334335,1.418086321,1.214073134,2,Rio,,30,-0.492334335,1.418086321,1.214073134,0,Rio,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,
,´Ù²Î,,,,,,,,,,,,,,,,,,,,,,,
1,0.428777857,-0.731145321,-0.993581479,0,Aya,,2,0.183365762,0.396070188,0.550614319,0,Fiora,,,,,,,,,,»ç³É²Û,,
12,-0.067381225,-0.686947085,-1.078478498,0,Xiukai,,9,0.019268883,0.784760063,0.693630186,0,LiDailin,,,,,26,-0.462354495,1.293498997,2.894408773,0,Alex,,
17,0.020872695,-0.195330728,-0.937217371,0,Shoichi,,11,0.491928454,0.593601,0.425841908,0,Hyejin,,,,,15,-0.129070924,1.608458065,1.557574444,0,Silvia,,
28,-0.507806043,-1.212115897,-0.258406957,0,Leon,,21,-0.495797967,1.201570279,0.479041873,0,Luke,,,,,0,-0.099234119,1.195300783,1.348407887,0,Jackie,,
38,0.309160932,-0.703379556,-0.281851156,0,Camilo,,29,0.395144937,0.6569324,1.106930727,0,Eleven,,,,,5,-1.054312739,4.431909677,2.599921297,2,Nadine,,
,,,,,,,31,-0.670772841,0.369996842,0.719501068,0,William,,,,,30,-0.492334335,1.418086321,1.214073134,0,Rio,,
,,,,,,,35,-0.416949204,0.622459342,0.880426105,0,Eva,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,½Î¿ò²Û,,
,,,,,,,,,,,,,,,,,7,2.41264186,-0.698990377,0.00833304,1,Hart,,
,,,,,,,,,,,,,,,,,14,0.837955697,-0.544018052,0.355693236,1,Sissela,,
,,,,,,,,,,,,,,,,,16,2.295873328,-0.761433908,0.472795231,1,Adriana,,
,,,,,,,,,,,,,,,,,24,1.212736557,0.687301836,0.101770897,1,Bernice,,
,,,,,,,,,,,,,,,,,25,1.752603048,-0.759944563,-0.248537803,1,Barbara,,
,,,,,,,,,,,,,,,,,33,1.507849698,-0.315867198,-0.560161545,1,Nathapon,,
,,,,,,,,,,,,,,,,,45,1.276885298,-0.785546206,-0.527927912,1,Aiden,,
,,,,,,,,,,,,,,,,,46,1.419740242,-0.802867477,0.290728905,1,Laura,,
,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,
32,0.616826255,-1.527234624,-1.582210521,0,Nicky,,,´Ù²Î,,,,,,,,,,,,,,,,
39,-0.116443154,-1.674843371,-1.789836716,0,Chloe,,8,-0.532443602,-1.426635463,-2.697090955,4,Isol,,,,,,,,,,,,
8,-0.532443602,-1.426635463,-2.697090955,0,Isol,,32,0.616826255,-1.527234624,-1.582210521,4,Nicky,,,,,,,,,,,,
,,,,,,,39,-0.116443154,-1.674843371,-1.789836716,4,Chloe,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,
