,gameRank,playerKill,monsterKill,useEmoticonCount,characterLevel,bestWeaponLevel,mmrGain,gameId,userNum,damageToPlayer,totalTime,craftLegend,damageFromPlayer,characterNum,,,
128,9,2,11,1,12,9,-9,17046129,824539,5715,459,0,3527,17,,,
129,16,1,2,1,8,7,-22,17045948,824539,3445,191,0,3238,17,,,
130,17,0,3,1,6,5,-25,17045772,824539,1447,170,0,1304,17,,,
131,3,3,40,1,18,17,1,17045182,824539,18520,1074,0,13902,17,,,
132,1,4,56,1,19,19,17,17044620,824539,19465,1074,3,8575,17,,,
133,14,1,16,1,12,10,-18,17044323,824539,3762,465,0,3456,17,,,
134,2,6,58,1,20,20,11,17043768,824539,32130,1261,0,15911,17,,,
135,7,0,29,1,16,14,-12,17043391,824539,12459,794,0,8297,17,,,
136,16,0,3,1,9,6,-26,17043224,824539,2537,241,0,4070,17,,,
137,11,2,16,1,13,12,-11,17042968,824539,8152,488,0,5550,17,,,
138,6,2,25,2,15,12,-7,17042715,824539,6205,697,0,6459,17,,,
139,1,6,36,1,18,18,29,17042384,824539,19689,924,3,9215,17,,,
140,1,4,48,2,19,19,17,17042034,824539,22830,1147,0,13351,17,,,
141,1,4,44,1,19,20,16,17041658,824539,26814,1226,1,18577,17,,,
142,1,7,52,1,20,20,33,17031746,824539,27950,1261,1,14487,17,,,
143,2,4,44,1,19,20,7,17030949,824539,24807,1161,2,10324,17,,,
144,10,5,8,1,12,12,-2,17030544,824539,12306,467,1,4699,17,,,
145,4,5,44,1,17,16,9,17029864,824539,16001,941,2,4928,12,,,
146,1,8,37,1,19,19,40,17028823,824539,22377,1085,3,5796,17,,,
147,14,2,4,1,10,8,-13,17028549,824539,5260,323,0,2362,17,,,
148,1,9,40,1,18,18,37,17027840,824539,17412,968,4,1678,17,,,
149,13,1,6,1,10,8,-17,17027486,824539,4262,380,0,4269,17,,,
150,7,1,20,1,13,10,-7,17027051,824539,4735,529,0,3800,17,,,
151,1,3,43,2,17,16,15,17026297,824539,14462,1036,0,6487,17,,,
152,13,3,5,1,11,9,-8,17025962,824539,6162,381,1,5155,17,,,
153,1,5,40,1,20,19,25,17025163,824539,20636,1229,0,11346,17,,,
154,13,2,4,1,11,9,-12,17024835,824539,6885,383,0,2570,17,,,
155,3,2,39,1,19,17,0,17024291,824539,12937,1042,3,8872,17,,,
156,1,8,44,1,18,19,32,17023723,824539,28357,1139,1,12862,17,,,
157,3,3,42,1,18,17,3,17023258,824539,15578,1028,2,8610,17,,,
158,2,4,45,1,19,19,8,17022756,824539,19505,1149,2,10012,17,,,
159,1,6,51,1,20,20,29,17022221,824539,25233,1235,1,10876,17,,,
160,1,9,33,1,19,20,40,17021734,824539,33150,1088,3,14357,17,,,
161,4,5,26,2,17,17,12,17021329,824539,20155,878,2,7918,17,,,
